 id                  year                month               vsm-C               vsm-DC              vsm-H               
 107                 1999                11                    -6.2669549838837407E-002  -6.7228683857846541E-002  -4.4924267655811735E-002
 108                 1999                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 109                 2000                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 110                 2000                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 111                 2000                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 112                 2000                4                     -2.4748620827054858E-002  -1.7824415832787877E-002  -1.4806646902578203E-002
 113                 2000                5                     -2.2763633734684974E-002  -3.5061733240203896E-002  -1.7587822336289076E-002
 114                 2000                6                     -3.0233900656659096E-002  -3.7253513050909105E-002  -1.9147937068897048E-002
 115                 2000                7                    -0.20551353272603648      -0.17386518741710943       -8.6932218821264964E-002
 116                 2000                8                     -4.8695128210739999E-002  -3.6690170942551968E-002  -2.8945176840506671E-002
 117                 2000                9                     -5.0313926141963602E-002  -3.9616173849755409E-002  -4.4214351649078866E-002
 118                 2000                10                    -5.2870926500710833E-002  -5.5593580996447511E-002  -6.6050429996006937E-002
 119                 2000                11                    -1.9850992936132746E-002  -2.4065237187451516E-002  -2.1841043636586045E-002
 120                 2000                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 121                 2001                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 122                 2001                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 123                 2001                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 124                 2001                4                     -2.4404119207904851E-002  -2.5098860980191297E-002  -1.6898685666767249E-002
 125                 2001                5                     -4.4924267655811735E-002  -4.6387242690202661E-002  -3.4025105801257817E-002
 126                 2001                6                     -2.0397560525794219E-002  -2.4065237187451516E-002  -1.7824415832787877E-002
 127                 2001                7                     -6.4898297799938429E-002  -6.2669549838837407E-002  -4.9496232451863270E-002
 128                 2001                8                    -0.78746188758012159       -1.0735511620293026      -0.45749472080380355     
 129                 2001                9                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 130                 2001                10                    -1.0310439765622157       -1.5828832085687163      -0.41709462658493324     
 131                 2001                11                   -0.16987438602736019      -0.13009032973885351      -0.10572274361990219     
 132                 2001                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 133                 2002                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 134                 2002                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 135                 2002                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 136                 2002                4                     -2.4065237187451516E-002  -3.6137253385021974E-002  -1.9321018704088443E-002
 137                 2002                5                     -4.7210418330432460E-003  -3.0233900656659096E-002  -2.0397560525794219E-002
 138                 2002                6                     -2.0397560525794219E-002  -3.5061733240203896E-002  -3.6137253385021974E-002
 139                 2002                7                    -0.81727131671652375       -1.5828832085687163      -0.50316439388110656     
 140                 2002                8                     -1.0310439765622157       -4.6531383701936040       -1.4460654956315009     
 141                 2002                9                     -4.1041368988108982       -2.5950227180164256       -5.3024581411020275     
 142                 2002                10                   -0.41709462658493324      -0.88146591048630540       -1.4460654956315009     
 143                 2002                11                     0.0000000000000000       -6.7112124198740299E-004  -3.8911024531483617E-003
 144                 2002                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 145                 2003                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 146                 2003                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 147                 2003                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 148                 2003                4                     -2.4065237187451516E-002  -1.6631421215719325E-002  -1.7354713072071953E-002
 149                 2003                5                     -4.7210418330432460E-003  -1.8174910161662155E-002  -2.5454960318188662E-002
 150                 2003                6                     -2.0397560525794219E-002  -2.6940493250109557E-002  -2.4065237187451516E-002
 151                 2003                7                    -0.81727131671652375       -1.5828832085687163      -0.50316439388110656     
 152                 2003                8                     -1.0310439765622157       -5.8495482020845112E-002  -6.4898297799938429E-002
 153                 2003                9                     -4.1041368988108982      -0.57379592016496805      -0.26508463402061905     
 154                 2003                10                   -0.41709462658493324       -6.9666537735106407E-002  -7.4890028291836511E-002
 155                 2003                11                     0.0000000000000000       -3.8412464333400780E-002  -2.9367276327710627E-002
 156                 2003                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 157                 2004                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 158                 2004                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 159                 2004                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 160                 2004                4                     -2.4065237187451516E-002  -1.6631421215719325E-002  -1.7354713072071953E-002
 161                 2004                5                     -4.7210418330432460E-003  -1.8174910161662155E-002  -2.5454960318188662E-002
 162                 2004                6                     -2.0397560525794219E-002  -2.6940493250109557E-002  -2.4065237187451516E-002
 163                 2004                7                    -0.81727131671652375       -1.5828832085687163      -0.50316439388110656     
 164                 2004                8                     -1.0310439765622157       -5.8495482020845112E-002  -6.4898297799938429E-002
 165                 2004                9                     -4.1041368988108982      -0.57379592016496805      -0.26508463402061905     
 166                 2004                10                   -0.41709462658493324       -6.9666537735106407E-002  -7.4890028291836511E-002
 167                 2004                11                     0.0000000000000000       -3.8412464333400780E-002  -2.9367276327710627E-002
 168                 2004                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 169                 2005                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 170                 2005                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 171                 2005                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 172                 2005                4                     -2.4065237187451516E-002  -1.6631421215719325E-002  -1.7354713072071953E-002
 173                 2005                5                     -4.7210418330432460E-003  -1.8174910161662155E-002  -2.5454960318188662E-002
 174                 2005                6                     -2.0397560525794219E-002  -2.6940493250109557E-002  -2.4065237187451516E-002
 175                 2005                7                    -0.81727131671652375       -1.5828832085687163      -0.50316439388110656     
 176                 2005                8                     -1.0310439765622157       -5.8495482020845112E-002  -6.4898297799938429E-002
 177                 2005                9                     -4.1041368988108982      -0.57379592016496805      -0.26508463402061905     
 178                 2005                10                   -0.41709462658493324       -6.9666537735106407E-002  -7.4890028291836511E-002
 179                 2005                11                     0.0000000000000000       -3.8412464333400780E-002  -2.9367276327710627E-002
 180                 2005                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 181                 2006                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 182                 2006                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 183                 2006                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 184                 2006                4                     -2.4065237187451516E-002  -1.6631421215719325E-002  -1.7354713072071953E-002
 185                 2006                5                     -4.7210418330432460E-003  -1.8174910161662155E-002  -2.5454960318188662E-002
 186                 2006                6                     -2.0397560525794219E-002  -2.6940493250109557E-002  -2.4065237187451516E-002
 187                 2006                7                    -0.81727131671652375       -1.5828832085687163      -0.50316439388110656     
 188                 2006                8                     -2.5454960318188662E-002  -3.8888457777619768E-002  -3.8412464333400780E-002
 189                 2006                9                     -2.6940493250109557E-002  -3.5380223459202574E-002  -2.8778378582093336E-002
 190                 2006                10                    -6.7871270928066682E-003  -1.1106641359506531E-002  -9.8737204604067395E-003
 191                 2006                11                    -1.5201493162280057E-002  -1.5201493162280057E-002  -1.6898685666767249E-002
 192                 2006                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 193                 2007                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 194                 2007                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 195                 2007                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 196                 2007                4                     -2.4065237187451516E-002  -1.6631421215719325E-002  -1.7354713072071953E-002
 197                 2007                5                     -1.8102229751910111E-003  -1.4388224897907960E-003  -2.7895102309509943E-003
 198                 2007                6                     -3.2299383945406129E-002  -3.4851353852510952E-002  -3.9432679665481619E-002
 199                 2007                7                     -1.0633671174447131E-002  -1.0652208906861348E-002  -1.9341907284820159E-002
 200                 2007                8                     -1462529.7181133376       -1462529.7181133376       -1462529.7181133376     
 201                 2007                9                     -11.377548458032392       -12.287154938494110       -31.715897076952320     
 202                 2007                10                   -0.60981842347180959       -1.1092223525496638       -1.5401211462166768     
 203                 2007                11                   -0.10424653237879176      -0.15435408600991149      -0.24957156553208984     
 204                 2007                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 205                 2008                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 206                 2008                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 207                 2008                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 208                 2008                4                     -1.9770454926724659E-002  -2.1543182863851311E-002  -2.5454960318188662E-002
 209                 2008                5                     -9.0324005902523832E-002 -0.10157472413786019      -0.13009032973885351     
 210                 2008                6                    -0.28804447552672091      -0.22700893621763238      -0.31192690522163746     
 211                 2008                7                    -0.64660342736323151       -1.0310439765622157       -1.0310439765622157     
 212                 2008                8                    -0.12131471161337529      -0.13009032973885351      -0.31192690522163746     
 213                 2008                9                    -0.15228933432003530      -0.22700893621763238      -0.65797255394414067     
 214                 2008                10                   -0.19434470671766141      -0.31192690522163746       -1.7371588284184809     
 215                 2008                11                   -0.10109975291407659      -0.13009032973885351      -0.22700893621763238     
 216                 2008                12                    -5.8324576551229988E-002  -8.0624083680823036E-002  -8.0624083680823036E-002
 217                 2009                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 218                 2009                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 219                 2009                3                     -8.3702064876178109E-002  -6.7228683857846541E-002 -0.15716393218671054     
 220                 2009                4                    -0.16150440261910984      -0.26508463402061905       -1.0591314267258114     
 221                 2009                5                     -9.4991777754527218E-002 -0.12293818271004839      -0.58680459523115636     
 222                 2009                6                    -0.52537687679556822      -0.52537687679556822       -1.2867417504173508     
 223                 2009                7                    -0.14111736126254096      -0.20551353272603648      -0.35607907362967917     
 224                 2009                8                     -10.080933215035843       -9.0088788145286927       -107.04574758070942     
 225                 2009                9                     -3.8847339985969924       -10.297113441745848       -25.532096995343430     
 226                 2009                10                   -0.29092924098697387      -0.52537687679556822       -1.2505415226694654     
