MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
011117	0.00003525	13.84045	0.26475	-0.051352	3.7
011118	0.00003525	13.1011	0.264975	-0.05126525	3.7
011119	0.00003525	12.78025	0.264975	-0.05126525	3.7
011120	0.00003525	12.69655	0.264475	-0.05142175	3.7
011121	0.00003525	13.33825	0.264975	-0.05087525	3.7
011122	0.00003525	13.3522	0.264975	-0.05087525	3.7
011123	0.00003525	13.17085	0.2652	-0.05079075	3.7
011124	0.00003525	13.03135	0.26545	-0.0506705	3.7
011201	0.00003525	12.1246	0.2652	-0.05079075	3.7
011202	0.00003525	11.85955	0.26545	-0.0506705	3.7
011203	0.00003525	11.77585	0.2657	-0.050553	3.7
011204	0.00003525	11.77585	0.265675	-0.0505915	3.7
011205	0.00003525	11.63635	0.266175	-0.050067	3.7
011206	0.00003525	11.5108	0.266175	-0.050067	3.7
011207	0.00003525	11.4271	0.266425	-0.049954	3.7
011208	0.00003525	11.6782	0.266425	-0.049954	3.7
011209	0.00003525	12.0967	0.2664	-0.0499925	3.7
011210	0.00003525	12.9337	0.2664	-0.0499925	3.7
011211	0.00003525	13.7986	0.26615	-0.0501055	3.7
011212	0.00003525	14.6914	0.26615	-0.0498235	3.7
011213	0.00003525	15.0262	0.26615	-0.0498235	3.7
011214	0.00003525	15.01225	0.265375	-0.05022225	3.7
011215	0.00003525	15.1099	0.264375	-0.05063675	3.7
011216	0.00003525	14.4124	0.263625	-0.05104375	3.7
011217	0.00003525	14.00785	0.263125	-0.0513295	3.7
011218	0.00003525	13.33825	0.262875	-0.05147725	3.7
011219	0.00003525	13.11505	0.2626	-0.051434	3.7
011220	0.00003525	13.08715	0.2626	-0.051434	3.7
011221	0.00003525	12.61285	0.2626	-0.051434	3.7
011222	0.00003525	12.50125	0.2626	-0.051434	3.7
011223	0.00003525	12.4036	0.2626	-0.051434	3.7
011224	0.00003525	12.11065	0.262825	-0.051319	3.7
011301	0.00003525	12.55705	0.262575	-0.0513515	3.7
011302	0.00003525	12.3757	0.262825	-0.05097625	3.7
011303	0.00003525	12.19435	0.262575	-0.05113025	3.7
011304	0.00003525	12.0688	0.262575	-0.05113025	3.7
011305	0.00003525	11.9293	0.2623	-0.0513265	3.7
011306	0.00003525	11.88745	0.2623	-0.0513265	3.7
011307	0.00003525	11.8456	0.26205	-0.05148725	3.7
011308	0.00003525	11.9572	0.2618	-0.05131975	3.7
011309	0.00003525	12.50125	0.26155	-0.051488	3.7
011310	0.00003525	13.33825	0.261275	-0.05169875	3.7
011311	0.00003525	13.64515	0.261025	-0.0518745	3.7
011312	0.00003525	14.81695	0.260275	-0.05242625	3.7
011313	0.00003525	15.01225	0.259525	-0.05301775	3.7
